Response ID,Age,Gender,Level_of_English,Play_video_games,Use_VR_apps_with_whd,Rate_your_sensation_of_self_motion,Rate_your_sensation_of_movement,Rate_how_fast_you_think_you_are_moving,Rate_how_fast_you_are_moving,Rate_your_speed,Rate_how_fast_you_are_going,Rate_how_fast_the_train_is_moving,Rate_the_speed_of_the_train,Rate_the_velocity_of_the_train,Rate_how_intense_your_sensation_of_motion_is,Rate_how_strong_is_your_sensation_of_self_motion,Rate_the_intensity_of_your_perception_of_self_motion,Rate_the_intensity_of_your_sensation_of_self_motion_in_the_virtual_environment,Rate_your_perception_of_speed,Rate_your_perceived_motion,Rate_your_perception_of_self_motion,Rate_your_perceived _movement,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9,Group_10
1,25 â€“ 34 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Never,4,4,2,3,3,3,1,1,1,4,4,2,4,5,2,2,2,"""This group has to do with the speed of the train.""",This group has to do with what you think about your own speed.,This group has to do with what your own speed actually is.,This group has to do with how your motion makes you feel.,"This group has to do with your understanding of motion overall, irrespective of what, in particular, is moving.",,,,,
2,35 â€“ 44 years old,Male,C2 - Proficient / Mother tongue,More than 3 times a week,Never,3,3,2,1,1,1,1,1,1,3,3,2,3,2,2,2,2,"""contains items relating to speed of movement""",contains items relating to perception of movement,contains items relating to how it feels to be moving,,,,,,,
3,35 â€“ 44 years old,Female,C2 - Proficient / Mother tongue,More than 3 times a week,Never,2,2,3,1,1,1,1,1,1,2,2,3,2,3,3,3,3,"""All involve speed and velocity, most simple questions""","All involve sensation, how the video makes you feel","All involve perception, how your mind is analyzing all factors (rate of tracks passing, rate of walls passing, end of tunnel not getting closer, etc)",,,,,,,
4,25 â€“ 34 years old,Male,C2 - Proficient / Mother tongue,Less than 3 times a week,Never,5,5,2,2,2,2,2,2,2,3,3,3,3,4,1,1,1,"""This is about how you perceive your perception of movement""","The train and I are one, this is about how fast we are moving ",This group is about the intensity of feeling ,A mix between group 1 and 2 but doesn't fit in either,This is about what movement you're actually feeling,,,,,
5,35 â€“ 44 years old,Female,C2 - Proficient / Mother tongue,More than 3 times a week,Never,2,2,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,"""These instructions are based on the assumption that you felt a realistic sense of motion and they are asking you to rate the speed of that movement the same way you would in a real world scenario.""",These instructions are ambivalent. It is unclear if the intended answer is a speed (Group 1) or an indication of how immersive your sensation of movement was (Group 3).,"These items ask you to rate your sensation, i.e. whether your sensations were realistic or intense.",,,,,,,
6,25 â€“ 34 years old,Male,C1 (95-120),More than 3 times a week,Once a month,3,3,2,2,2,2,1,1,1,3,3,3,3,3,3,3,3,"""It's about rating a physical property of an Object in a virtual space""",It's about rating a physical property of yourself in a virtual space,It's about your perception itself in a virtual space,,,,,,,
7,25 – 34 years old,Female,B2 (72-94),More than 3 times a week,Once a month,1,3,3,3,3,3,2,2,2,4,4,3,1,3,1,1,1,"""More about feeling/perception of the whole environment."" ",The subject is train - more about the speed of the train itself,"The subject is myself - not only about the speed of the train, also includes myself's feeling of the train and whole environment",more about the feeling of motion intensity instead of speed,,,,,,
8,55 – 64 years old,Female,C2 - Proficient / Mother tongue,Never,Never,4,4,2,1,1,1,3,3,3,4,4,4,4,2,4,4,4,"""These sentences are all about my own speed""",These senstences are all about my perception of my own speed,These sentences are all about the speed of the train,These sentences are all about my perception of my own motion,,,,,,
9,25 – 34 years old,Female,C2 - Proficient / Mother tongue,Never,Never,3,3,2,1,1,1,1,1,1,4,4,4,4,2,2,2,2,"""I grouped them based on actual speed of the self (3 sentences) and the vehicle (3 sentences). I considered actual speed as the main category here, then considered two sub categories as the actual speed of the self and the vehicle.""","These sentences belong to the category 'perception'. Each sentence refers to perceived movement or motion, as opposed to actual motion.","I grouped these two sentences together as they both refer to sensation, rather than perception or actual movement",I grouped these sentences together based on intensity. Each of them refer to intensity in terms of either sensation or perception.,,,,,,
10,18 – 24 years old,Male,C1 (95-120),More than 3 times a week,Never,3,3,3,2,2,2,1,1,1,3,3,3,3,3,3,3,3,"""The first group refers to all the sentences relative to the actual speed of the train""",This group refers to all the sentences relative to your actual speed,This group refers to how you perceive the movement of both yourself and the train,,,,,,,
